job_title,company_name,work_genre,area,income,description,url
営業【月給29万以上！インセンティブ有！未経験OK！】,Only Life 株式会社,法人営業,"('北海道札幌市北区',)","('月給 29万円 ～ 100万円',)","◎未経験の方には

あなたのレベルに合わせて、簡単なお仕事からスタート。

3~6ヶ月かけてお仕事に慣れていただきます！



※フレックス制

※高給与

※土日祝休み

※転勤無し



営業職は体育会系でガツガツとした風潮があり心配な方が多いと思いますが、

弊社はそんなマイナスイメージが苦手で業界を変えたいと想いを持った方が多いのが特徴です！！



あなたに合わせて一緒にキャリアアップを実現させていきましょう！



あなたの特性やご希望を踏まえて、

下記のどちらかに配属となります！



ーー



「不動産営業」

・ご提案アポ取得

・課題解決に向けたヒアリング

・税金や相続に関するアドバイス

・立地やエリアを考慮したプランや資金計画の立案・作成

・ご成約・着工・完成

・丁寧なアフターフォロー

・各業務に関わる事務業務 など



「インターネット回線営業」

・ご提案アポ取得

・課題解決に向けたヒアリング

・通信費削減に関するアドバイス

・ご成約・着工

・丁寧なアフターフォロー

・各業務に関わる事務業務 など",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/8380787,営業系
不動産営業（賃貸仲介・賃貸管理・売買仲介）,有限会社ハウスコーポレーション,不動産営業,"('兵庫県尼崎市',)","('月給 25万円 ～',)","カウンター営業

インターネットや住宅情報誌等を見て来店頂いたお客様への、売買物件の紹介や案内業務。※反響営業。飛び込み営業等一切なし

[

※未経験から始めた方が多数活躍中",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/3439083,営業系
カウンターにて接客業,有限会社ハウスコーポレーション,カウンター賃貸営業,"('兵庫県尼崎市',)","('月給 25万円 ～ 40万円',)","[1]カウンター営業

インターネットや住宅情報誌等を見て来店頂いたお客様への、賃貸・売買物件の紹介や案内業務。※反響営業。飛び込み営業等一切なし

[2]店長・店長候補

店舗運営、営業スタッフの教育や店舗の管理

[3]不動産の賃貸管理業

入退去の手続きや契約書類の確認、鍵の交換・受け渡し、設備の修繕手配、入居者募集の資料作成など。

※[1][3]未経験から始めた方が多数活躍中",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/6209596,営業系
内定まで2週間！未経験OK！賃貸不動産のルームアドバイザー,有限会社ハウスコーポレーション,カウンター営業,"('兵庫県尼崎市',)","('月給 25万円 ～ 80万円',)","カウンター営業

インターネットや住宅情報誌等を見て来店頂いたお客様への、売買物件の紹介や案内業務。※反響営業。飛び込み営業等一切なし

[

※未経験から始めた方が多数活躍中",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7162889,営業系
営業（不動産賃貸売買仲介・賃貸物件管理）,有限会社ハウスコーポレーション,カウンター営業,"('兵庫県尼崎市',)","('月給 25万円 ～ 40万円',)",インターネットや住宅情報誌等を見て来店頂いたお客様への、賃貸・売買物件の紹介や案内業務。※反響営業。飛び込み営業等一切なし,https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/2586714,営業系
売買物件仲介業,有限会社ハウスコーポレーション,カウンター営業,"('兵庫県尼崎市',)","('月給 25万円 ～ 40万円',)","カウンター営業

インターネットや住宅情報誌等を見て来店頂いたお客様への、売買物件の紹介や案内業務。※反響営業。飛び込み営業等一切なし

[

※未経験から始めた方が多数活躍中",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/2258721,営業系
賃貸・売買仲介営業　賃貸不動産管理業,有限会社ハウスコーポレーション,カウンター営業,"('兵庫県尼崎市',)","('月給 25万円 ～ 40万円',)","[1]カウンター営業

インターネットや住宅情報誌等を見て来店頂いたお客様への、賃貸・売買物件の紹介や案内業務。※反響営業。飛び込み営業等一切なし

[2]店長・店長候補

店舗運営、営業スタッフの教育や店舗の管理

[3]不動産の賃貸管理業

入退去の手続きや契約書類の確認、鍵の交換・受け渡し、設備の修繕手配、入居者募集の資料作成など。

※[1][3]未経験から始めた方が多数活躍中",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/2102948,営業系
賃貸物件仲介業（将来の独立支援いたします！！）,有限会社ハウスコーポレーション,カウンター営業,"('兵庫県尼崎市',)","('月給 25万円 ～ 80万円',)","カウンター営業

インターネットや住宅情報誌等を見て来店頂いたお客様への、賃貸物件の紹介や案内業務。※反響営業。飛び込み営業等一切なし



未経験から始めた方が多数活躍中



1、2年後に独立支援致します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/5343983,営業系
内定まで2週間！【提案営業】,有限会社広島ピーエス,提案営業,"('広島県東広島市福富町久芳',)","('月給 25万円 ～ 35万円',)","・法人提案型営業、コンサルティング営業

・工場間、工程間の搬送システム、ネットワークシステムの企画、提案

・自社パッケージの営業企画、マーケティング、新規顧客開拓

・クライアント企業との折衝、調整業務

・日本タイ王国でのマーケティング調査",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/5229723,営業系
【転職ギャップをぶっ壊す！】人材紹介営業＆キャリアアドバイザー／基本リモート,株式会社Challenge Fund,人材紹介営業,"('東京都港区',)","('月給 25万円 ～ 35万円',)","＜お任せする業務＞

人材を必要としている企業と、プレテン利用者をマッチングしていただきます。

豊富なポジションがあるため、職種理解をし、求職者との面談を通して、納得度の高いキャリアを築いていただけるようサポートをお願いします。



・RA

RAのミッションは企業向けの採用ソリューション。

“入社前の副業インターン”という当社独自の強みにより、企業からの需要も高まっており、当社の事業成長に欠かせない、やりがいのあるポジションです。



・CA

CAのミッションは求職者を入社選考～入社後まで一人ひとりにしっかり寄り添い、サポートすること。

「〇〇さんのおかげ」という感謝の言葉をいただけることもあり、貢献性を感じやすいポジションです。



&lt;仕事の進め方&gt;

・個人毎に月間目標KPIを設けて、目標通り進んでいるかどうか責任者とコミュニケーションを取って進めて頂きます。

-頻度と手法：

週1回のオンラインMTG(1on1)

日々のテキストコミュニケーション、電話コミュニケーション



・社内情報インプット、アウトプットを目的にチームメンバーとコミュニケーションを取って進めて頂きます。

-頻度と手法：

週1回(1回当り30分~1時間)のオンラインMTG

月1~2回(1回当り2~3時間)のオフラインMTG



・集客活動の一貫として交流会企画を行っていきます。積極的に会にご参加頂き、ご自身の転職支援に繋がるような活動を行って頂きます。

-頻度と手法：

月1~2回(1回当り2~3時間)の交流会(オフライン)参加



※希望がある方に関しては※

・仕組み作り、チームマネジメント、営業企画、採用活動など会社運営に関する業務への参画は大歓迎です！",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/8599038,営業系
