job_title,company_name,work_genre,area,income,description,url
【CEO直下/幹部候補】～SaaS企業のインサイドセールスメンバーを募集中！,株式会社EmpowerX,SaaS企業のインサイドセールス,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7580274,営業系
【CEO直下/幹部候補】～ソリューション営業メンバーを募集中！,株式会社EmpowerX,ソリューション営業,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7579885,営業系
【CEO直下/幹部候補】～営業支援事業メンバーを募集中！,株式会社EmpowerX,営業支援,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7580251,営業系
【SaaS企業支援】～SaaS企業のインサイドセールスメンバーを募集中！,株式会社EmpowerX,SaaS企業のインサイドセールス,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7580271,営業系
【SaaS企業支援】～ソリューション営業メンバーを募集中！,株式会社EmpowerX,ソリューション営業,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7579877,営業系
【SaaS企業支援】～営業支援事業メンバーを募集中！,株式会社EmpowerX,営業支援,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7580247,営業系
【カジュアル面談】～SaaS企業のインサイドセールスメンバーを募集中！,株式会社EmpowerX,SaaS企業のインサイドセールス,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7580270,営業系
【カジュアル面談】～ソリューション営業メンバーを募集中！！,株式会社EmpowerX,ソリューション営業,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7579875,営業系
【カジュアル面談】～営業支援事業メンバーを募集中！,株式会社EmpowerX,営業支援,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7580244,営業系
【キャリアの次のステップへ！第二新卒大歓迎！】～SaaS企業のインサイドセールスメンバーを募集中！,株式会社EmpowerX,SaaS企業のインサイドセールス,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールスとして、電話やメールを通じて潜在的な顧客にアプローチし、商談の機会を創出致します。具体的には以下の業務を担当します。





-顧客データベースの分析-

潜在顧客のリストを分析し、ターゲットを特定します。



-アウトリーチ活動-

電話やメールを使って、潜在顧客に連絡を取り、当社の製品やサービスについて情報を提供します。



-商談の設定-

興味を持った顧客との商談のアポイントメントを設定します。



-営業チームとの連携-

商談の機会を営業チームに引き継ぎ、受注に向けてサポートします。



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7580265,営業系
【キャリアの次のステップへ！第二新卒大歓迎！】～営業支援事業メンバーを募集中！,株式会社EmpowerX,営業支援,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7580239,営業系
【世の中にセールスで革命を起こすメンバーを募集中！】SaaS企業インサイドセールスメンバーを募集中！,株式会社EmpowerX,SaaS企業のインサイドセールス,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7580273,営業系
【世の中にセールスで革命を起こすメンバーを募集中！】～ソリューション営業メンバーを募集中！,株式会社EmpowerX,ソリューション営業,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7579880,営業系
【世の中にセールスで革命を起こすメンバーを募集中！】～営業支援事業メンバーを募集中！,株式会社EmpowerX,営業支援,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7580249,営業系
【入社3ヶ月で月給10万円アップ事例有り！】～SaaS企業のインサイドセールスメンバーを募集中！,株式会社EmpowerX,SaaS企業のインサイドセールス,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7580278,営業系
【入社3ヶ月で月給10万円アップ事例有り！】～ソリューション営業メンバーを募集中！,株式会社EmpowerX,ソリューション営業,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7579930,営業系
【入社3ヶ月で月給10万円アップ事例有り！】～営業支援事業メンバーを募集中！,株式会社EmpowerX,営業支援,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7580256,営業系
【完全土日祝休み】～SaaS企業のインサイドセールスメンバーを募集中！,株式会社EmpowerX,SaaS企業のインサイドセールス,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7727648,営業系
【完全土日祝休み】～ソリューション営業メンバーを募集中！,株式会社EmpowerX,ソリューション営業,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールスとして、電話やメールを通じて潜在的な顧客にアプローチし、商談の機会を創出致します。具体的には以下の業務を担当します。





-顧客データベースの分析-

潜在顧客のリストを分析し、ターゲットを特定します。



-アウトリーチ活動-

電話やメールを使って、潜在顧客に連絡を取り、当社の製品やサービスについて情報を提供します。



-商談の設定-

興味を持った顧客との商談のアポイントメントを設定します。



-営業チームとの連携-

商談の機会を営業チームに引き継ぎ、受注に向けてサポートします。



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7579826,営業系
【完全土日祝休み】～営業支援事業メンバーを募集中！,株式会社EmpowerX,営業支援,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7580230,営業系
【完全土日祝休み】～法人営業メンバーを募集中！,株式会社EmpowerX,法人営業,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7579699,営業系
【年間休日120日以上】～SaaS企業のインサイドセールスメンバーを募集中！,株式会社EmpowerX,SaaS企業のインサイドセールス,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7580277,営業系
【年間休日120日以上】～ソリューション営業メンバーを募集中！,株式会社EmpowerX,ソリューション営業,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7579897,営業系
【年間休日120日以上】～営業支援事業メンバーを募集中！,株式会社EmpowerX,営業支援,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7580255,営業系
【急成長中スタートアップ企業】～SaaS企業のインサイドセールスメンバーを募集中！,株式会社EmpowerX,SaaS企業のインサイドセールス,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【応募資格/いずれかの内1つ】

・将来起業したい方

・営業を通じて成長したい方

・セールスやマーケティング思考を身に付けたい方



【弊社キャリアパス】

インサイドセールス➡︎フィールドセールス➡︎戦略コンサルタント



【研修制度について】

日数：2週間～1ヶ月

(1)入社後研修：2週間

営業職としてスキルを身につけるための専門的な研修を2週間かけてしっかりとインプットします。

ロープレなどのアウトプットの場もご用意しております。



(2)配属案件に応じた戦略研修：2週間

社内で共有会、勉強会などの活動は活発的に行われています。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7580275,営業系
【急成長中スタートアップ企業】～ソリューション営業メンバーを募集中！,株式会社EmpowerX,ソリューション営業,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7579891,営業系
【急成長中スタートアップ企業】～営業支援事業メンバーを募集中！,株式会社EmpowerX,営業支援,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7580252,営業系
【書籍購入補助あり】～SaaS企業のインサイドセールスメンバーを募集中！,株式会社EmpowerX,SaaS企業のインサイドセールス,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7580260,営業系
【書籍購入補助あり】～ソリューション営業メンバーを募集中！,株式会社EmpowerX,ソリューション営業,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールスとして、電話やメールを通じて潜在的な顧客にアプローチし、商談の機会を創出致します。具体的には以下の業務を担当します。





-顧客データベースの分析-

潜在顧客のリストを分析し、ターゲットを特定します。



-アウトリーチ活動-

電話やメールを使って、潜在顧客に連絡を取り、当社の製品やサービスについて情報を提供します。



-商談の設定-

興味を持った顧客との商談のアポイントメントを設定します。



-営業チームとの連携-

商談の機会を営業チームに引き継ぎ、受注に向けてサポートします。



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7579847,営業系
【書籍購入補助あり】～営業支援事業メンバーを募集中！,株式会社EmpowerX,営業支援,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールス



顧客に対し、電話やメールを通じてアプローチし、商談の機会を創出致します。

※テレアポとは違い、ひたすら電話する業務ではありません。



セールス/マーケティング思考が身に付きます！



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=100000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7580231,営業系
