job_title,company_name,work_genre,area,income,description,url
【電話受付】人柄採用♪笑顔の溢れる環境♪,オフィスあしずみグループ,電話対応業務,"('東京都新宿区',)","('月給 26万円 ～ 40万円',)","【仕事内容】

・樹木葬についての問い合わせ業務

・パソコンの入力作業

・スケジュールの調整

※業績好調により新規ポジションになります。

主な仕事は電話対応になりますが業務内容が増える可能性もあります。

臨機応変力に自信のある方が向いています♪



-----具体的な業務-----

・お客様からかかってきた電話対応がメインとなります。

・樹木葬見学会の予約も承るのでカレンダー入力や調整業務。

・エンディングビジネスの専門知識がなくても、作業手順書・Q&amp;A集・画像集などを用いながら、覚えられるので安心！



【求める人物像】

あ　新しいことにチャレンジ！

し　仕事に自信を持ちやりがいを感じる！

ず　ずっと同じ場所にいない！突き進む！

み　自ら学び・考え・成果を出す！



【向いてる人】

(1)自ら情報を発信できる人

(2)好奇心旺盛で最後まで責任も持ってチャレンジする人

(3)仕事にやりがいや会社・自身の成長を追及できる人



【メモリアル事業部概要】

当事業部では、現在、神奈川県,愛知県,滋賀県,山梨県,新潟県,熊本県,福岡県にて樹木葬・永代供養の墓苑を運営させて頂いております。

お客様からは、ご子息に負担を残さず、人生の最期をよりよく迎える形で、そして、ご寺院様からは、檀家減少に伴う経営課題を解決するような永代供養墓、樹木葬、納骨堂などのご提案、ご提供をさせて頂いております。 また、弊社の販売・接客にかかわるスタッフは、厳しい採用基準をクリアし、その後もプロフェッショナルとして寺院、お客様に関わるよう常日頃お願いしております。日々成長を心掛け事業運営をしています。",https://en-gage.net/user/search/?area=0&job=150000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/8042961,企画・事務・管理系
完全土日祝休み！未経験OK！農業関連企業の営業事務業務,クールコネクト株式会社,一般事務,"('群馬県伊勢崎市',)","('月給 20万円 ～ 25万円',)","農業関連企業でのオペレーション本部での営業事務をお願いします。

土日祝休みで、正社員を募集中。



●仕入れ業務

●青果バイヤー業務

●生産者とのコミニケーション

●営業



【残業】

基本ありません



【服装】

自由



収穫時期は野菜の持ち帰りOK！",https://en-gage.net/user/search/?area=0&job=150000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7179064,企画・事務・管理系
営業事務アシスタント/週１日から/リモートワークOK！,セブンフォースコンサルティング株式会社,営業事務アシスタント,"('新潟県十日町市',)","('時給 1,200円 ～ 1,500円',)","ベンチャーの小規模スタートアップ企業のため、社長のサポートとして、資料作成、お客様とのやり取り等、営業のサポート業務をお願いします。

経験が浅い方OK！社長が丁寧にお教えします！



＜主な仕事内容＞



・学習塾さまや講師からの問い合わせ対応（メール、電話）

・求人媒体への求人票掲載や応募管理

・案件管理 ・進捗状況管理 ・顧客向け資料作成

・自社サイト運営・企画アシスタント

・ネット調査アシスタント

・社長のスケジュール管理

・慣れてきたらＷeb等を使用して会社の広報や宣伝等もお願いしていきたいです。



◆メインサイト

「塾講師キャリア（教育業）」https://juku.careers/

「家庭教師サポーター」https://search-staff.com/



◆その他下記のサイトも運営していますので、こちらを担当していただくことも可能です！

「ハウスサポーター」https://housesupporter.com/",https://en-gage.net/user/search/?area=0&job=150000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/8568910,企画・事務・管理系
交通費支給あり！リフォーム営業所のアシスタント事務スタッフ,ミサワリフォーム株式会社,事務スタッフ,"('東京都杉並区',)","('時給 1,300円 ～',)","★ミサワホームグループのリフォーム会社で営業チームをサポートするお仕事です！

　たとえば、

　・来電対応（社員への取り次ぎ）

　・各種手続きの代行（証明書の取得、補助金申請）

　・営業事務（事務用品の手配、見積入力、書類郵送）

　・販売促進企画の補助、チラシの作成

　　　　　　　　　　　　　　　　　　　などなど



★大手企業なので安心してお仕事できます。



★既存店では30～50代の主婦さんが活躍中です。　



★未経験の方やブランクのある方でも大丈夫！

　わからないことは先輩スタッフや社員がきちんと教えるので安心してください。",https://en-gage.net/user/search/?area=0&job=150000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/8308420,企画・事務・管理系
宿泊施設管理職,上ノ国開発株式会社,事務販売管理,"('北海道檜山郡上ノ国町',)","('月給 20万円 ～ 35万円',)","北海道上ノ国町の廃校舎を使用してワイン等農産加工品の加工・製造を行う「上ノ国ワイナリー」（2022年1月開業）で行うサテライトオフィス（宿泊施設も有）運営管理を中心とした業務に従事していただきます。



他にワインの原料となるブドウの栽培、ワイン醸造等にも関わっていただければと考えています。



大自然豊かな北海道上ノ国町で行政の支援を受けて開業した「上ノ国ワイナリー」は、自身の提案を反映しやすい環境です。様々な可能性を持ち、地方創生にも繋がる大変“やりがい”のあるお仕事です。",https://en-gage.net/user/search/?area=0&job=150000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/2837318,企画・事務・管理系
未経験OK！トラックドライバーの点呼事務,大阪高速乳配株式会社,点呼事務,"('大阪府交野市',)","('時給 1,100円 ～ 1,100円',)","(1)ドライバーさんが出発するとき、戻ってきたときの点呼確認

1日平均30件程度



確認する内容はあらかじめ決まっています。

ドライバーさんに聞き取り、または提出される書類を目視して

ひとつひとつ 確認していきます。



例）

・点呼を行った日時

・ドライバーさんの健康状態

・免許証の目視確認

・渋滞など、現在の道路状況



・乗っていた車に異常は無いか？

ライトが切れそう、エアコンの調子が悪いなど、ドライバーさんからの報告を受け

整備担当者に申し伝えます。



・デジタコの記録を回収

勤務した時間、行き先、速度など、運転状況の記録を確認します。



・アルコールチェック

ドライバーさん自身が機械を使って検査しています。その結果を記録します。



これらを確認し、記録簿に記入して完了です。





・夕方の時間帯は、戻ってくるドライバーさんがほとんどです。

『本日も1日 おつかれさまでした！』





(2)センターに来訪された方の受付

1日平均 30件程度



・来訪者があると、インターホンが鳴ります。



・デスクの近くに操作パネルがあります。

センター出入口のオートロックを解除します。



・来訪者が受付までいらっしゃいます。



・受付簿をお渡しし、時刻・来訪者名・ご用件等を記入いただきます。



・退出時の際に、退出時刻を記入いただきます。



・記入された内容に抜け漏れが無いことを確認して、完了です。",https://en-gage.net/user/search/?area=0&job=150000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/8320692,企画・事務・管理系
レンタカー受付・事務スタッフ大募集！！,日進レンタカー株式会社,接客,"('東京都日野市',)","('月給 32万円 ～ 45万円',)","お客様への接客・電話対応を主に行っていただき、簡単な事務・経理など営業所の中のお仕事をお任せ致します。

時には車の洗車や軽い整備もお願いします。（しっかりお教えします）

頑張り次第では管理職へステップアップもできます！



PR動画：https://www.youtube.com/watch?v=EPPMN9D3dkY",https://en-gage.net/user/search/?area=0&job=150000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/4786402,企画・事務・管理系
一般事務・顧客管理・備品管理・電話応対,有限会社瀬戸内葬祭,事務スタッフ,"('広島県呉市',)","('時給 970円 ～ 1,200円',)","セレモニースタッフが円滑に通夜葬儀・法要等を施行できる様に

受注・発注・見積書や請求書の作成・顧客管理・備品管理などを行います。



パソコン入力は、フォーマットがありますので、基本的な操作が出来れば、大丈夫です。



会社の業務上、繁忙日と閑散日がありますので、

繁忙日で　現場スタッフの手が足りない時には、片付け・接客などのお手伝いをお願いする事があります。",https://en-gage.net/user/search/?area=0&job=150000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/3325350,企画・事務・管理系
完全土日祝休み！年間休日120日以上！交通費支給あり！未経験OK！未経験OK！事務スタッフ！,株式会社Act.,事務スタッフ,"('東京都港区',)","('月給 20万円 ～ 43万円',)","今スグにお金が欲しい！

沢山稼ぎたい方必見！



【募集概要】   

・PCによるデータ入力・集計

・各種資料作成

・伝票整理、経理補助

・電話やメール􏰂対応

・受発注業務􏰂サポート 等



 〇未経験からスタートしオフィスワークスキルを身に付け、さらに アップする  ことが出来ます。

 〇土日祝休み、昇給賞与有り、残業も少なく

  ワーク・ライフ・バランスが充実し安心して長く働くことができま す。

【未経験でも安心な理由】

お仕事未経験からスタートする方も、 PCスキルやビジ ネスマナーに自信ないという方も、研修や eラーニングスクール受講など から、あなたに  合った研修をご案内しますで、安心してスタートできます!



《 注 目 ポ イ ン ト》

・ 業績向上の安定企業!!

・コロナ中もずっと黒字経営!!大手有名企業と取引実績有り!!

・業種"" 未経験者 ""大歓迎!!

・異業種からの"" 転職 ""大歓迎歓迎!!

・"" 20代 "" , "" 30代 ""のスタッフ多数活躍中!!

未経験者絶賛活躍中！！



お金が直ぐに欲しい方にこそ

ぴったりなお仕事ですよ！",https://en-gage.net/user/search/?area=0&job=150000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/8742589,企画・事務・管理系
【CEO直下/幹部候補】～インサイドセールスメンバーを募集中！,株式会社EmpowerX,インサイドセールス,"('東京都港区',)","('月給 20万円 ～ 35万円',)","【職務内容】

インサイドセールスとして、電話やメールを通じて潜在的な顧客にアプローチし、商談の機会を創出致します。具体的には以下の業務を担当します。





-顧客データベースの分析-

潜在顧客のリストを分析し、ターゲットを特定します。



-アウトリーチ活動-

電話やメールを使って、潜在顧客に連絡を取り、当社の製品やサービスについて情報を提供します。



-商談の設定-

興味を持った顧客との商談のアポイントメントを設定します。



-営業チームとの連携-

商談の機会を営業チームに引き継ぎ、受注に向けてサポートします。



【配属先】

適正に応じて以下の2つのいずれかの組織への配属を検討いたします。

SDR業務：新規に問い合わせをしてくる顧客から商談を創出します。

BDR業務：まだ接点がない顧客から商談を創出します。",https://en-gage.net/user/search/?area=0&job=150000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7579414,企画・事務・管理系
