job_title,company_name,work_genre,area,income,description,url,job_type
簡単な仕事からＯＪＴ！社員ファーストな人工芝製造業務！,株式会社ノウイング　製造部,製造スタッフ,"('福岡県久留米市',)","('月給 33万円 ～ 36万円',)","《仕事内容》

人工芝の生産ラインでのお仕事です！

原料をセットしてボタンを押すだけ♪



2か月目からは

検品・運搬・原料管理も

お任せしています！",https://en-gage.net/user/search/?area=0&job=550000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/8041011,技術系（医薬、化学、素材、食品）
完全土日祝休み！カップ麺の製造,キャナルベネフィッツ,カップ麺の製造,"('大阪府高石市',)","('月給 29万円 ～ 34万円',)","カップ麺の製造のお仕事です。



基本的にライン作業です。



・原材料の投入作業

・トッピング作業

・検査作業

・梱包箱詰め作業



配属により様々なお仕事がございます！



ご応募お待ちしております。",https://en-gage.net/user/search/?area=0&job=550000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/6550654,技術系（医薬、化学、素材、食品）
女性・男性関係なく活躍！社員割引有！カップケーキ製造スタッフ募集,株式会社ノウイング　製造部,製造スタッフ,"('福岡県福岡市博多区',)","('月給 31万円 ～ 35万円',)","カップケーキの

ライン作業をお任せします！



＊生地の準備

＊トッピング作業

＊検品・箱詰め　



力仕事無しの軽作業だから、

女性でも安心♪



かわいいケーキ作りをお願いします！",https://en-gage.net/user/search/?area=0&job=550000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/8041191,技術系（医薬、化学、素材、食品）
年間休日120日以上！果物のジュースの製造,株式会社Insight ACE,果物のジュースの製造,"('愛媛県新居浜市',)","('月給 30万円 ～ 35万円',)","果物ジュースの製造管理のお仕事です。



【職務内容】



新鮮な果物を使用してジュースを製造する。

製造プロセスを遵守し、品質と衛生基準を維持する。

製造装置のセットアップ、運用、メンテナンスを行う。

プロダクションスケジュールに従って生産を管理する。

チームと協力して、製造プロセスの改善を提案する。

フルーツが好きな方や調理するのが好きな方

ご応募お待ちしております！",https://en-gage.net/user/search/?area=0&job=550000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/6633661,技術系（医薬、化学、素材、食品）
☆未経験OK☆ かまぼこの製造・製造補助スタッフ,株式会社NRS,製造スタッフ,"('三重県松阪市',)","('月給 27万3,000円 ～ 34万円',)","かまぼこ製造・製造補助を全般的に行っていただきます。



＜お仕事内容＞

・魚肉練り製品の製造



・調味料などを機械へ入れる作業



・商品の仕分け・梱包の作業



・機器メンテナンス",https://en-gage.net/user/search/?area=0&job=550000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/6634960,技術系（医薬、化学、素材、食品）
完全土日祝休み！未経験OK！ヘッドランプの製造,キャナルベネフィッツ,ヘッドランプの製造,"('佐賀県鳥栖市',)","('月給 32万円 ～ 40万円',)","ヘッドランプの製造作業



【作業工程】

＊本体の製造

＊電子部品の組み立て

＊本体の組み立て

＊接合",https://en-gage.net/user/search/?area=0&job=550000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7422875,技術系（医薬、化学、素材、食品）
未経験OK！交通費支給あり！計測器の加工,株式会社MAT製造部,計測器の加工,"('岡山県和気郡和気町',)","('月給 32万円 ～ 39万円',)","◆作業内容◆

部品を機械にセットして

ボタンを押すだけの

簡単機械操作がメインになります。",https://en-gage.net/user/search/?area=0&job=550000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/6724610,技術系（医薬、化学、素材、食品）
未経験OK！完全土日祝休み！ハンドクリームのラベル貼り,株式会社MAT製造部,ハンドクリームのラベル貼り,"('石川県白山市',)","('月給 34万円 ～ 38万円',)","【仕事内容】



◆製品の準備

◆梱包準備

◆シール貼り

◆梱包

◆出荷準備",https://en-gage.net/user/search/?area=0&job=550000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/6797845,技術系（医薬、化学、素材、食品）
完全土日祝休み！電動自転車のフレームの製造,キャナルベネフィッツ,電動自転車のフレームの製造,"('大分県別府市',)","('月給 30万円 ～ 36万円',)","電動自転車の製造のお仕事です。



電動自転車の骨格にあたる部分の

フレームを作っていいただきます。



◎仕事内容

✔切断機で鉄パイプをカットする

✔圧縮機でプレスする

✔加工機で曲線を描く

✔前方フレームと後方フレームを接合する



ご応募お待ちしております。",https://en-gage.net/user/search/?area=0&job=550000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/6710424,技術系（医薬、化学、素材、食品）
手のひらサイズの軽作業！！年間休日120日以上！交通費支給あり！未経験OK！,株式会社Starseed,ペットボトルのキャップ製造補助スタッフ,"('北海道苫小牧市',)","('月給 28万円 ～ 33万円',)","環境に優しいエコで再利用が出来るキャップの製造のお仕事です！



「仕事内容」



⚫️飲料(キャップ)などの製造サポート！

　・キャップの品質チェック



⚫️塗料を機械へ投入＆機械補助をお願いします



⚫️機械は社員の方が操作するので、難しい作業なし



⚫️仕上げと梱包作業



覚える事も少なく、未経験でも始めやすい



ご入社後にはゆっくりと丁寧に研修を行います！

一つ一つの作業は簡単なので未経験の方もすぐに覚えられます。



資格不要！未経験OKです！



■嬉しいポイント

・履歴書不要

・未経験OK

・即日面接

・即日採用

・即日入寮

・即日入社

・寮費無料

・日払いOK

・週払いOK

・正社員登用あり





■最低勤務期間

日数：週5日

時間：1日8時間",https://en-gage.net/user/search/?area=0&job=550000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7098339,技術系（医薬、化学、素材、食品）
